,name,tempo,meter,tonic,mode,pitch_scale_rate,length,pitch_entropy,pitch_class_entropy,mean_pitch_range,chord_progression_entropy,groove_consistency,duration_var_by_pos,key_changes
0,06christ.mid,96,4,5,0,0.9666666666666667,31.0,4.249098614658742,2.871535627404302,12.5,0.9536983433522509,0.9977120535714286,0.4304492005185003,0
1,03achgot.mid,80,4,9,1,0.933579335793358,56.0,4.332383998021049,3.061763558135673,13.5,0.8470770048509341,0.997020656779661,0.36045241631687747,1
2,12puerna.mid,96,3,9,1,0.9183673469387755,48.0,4.188575011691908,3.13064136224511,9.5,0.928054587516306,0.9983202468846439,0.28538338786987083,4
3,10austie.mid,96,4,9,1,0.968503937007874,72.0,4.35128734262622,3.0249144229939358,13.75,1.2837357610419997,0.9978705512152778,0.4372824233175965,0
4,15christ.mid,80,4,2,1,0.9142857142857143,64.0,4.4319752268374675,3.1155851127973158,15.0,1.8133440434848822,0.9966969209558824,0.5714586235033507,4
5,11jesu.mid,80,4,0,0,0.9314814814814815,142.0,4.368665881934772,3.0433178214069097,11.25,1.5683428590685364,0.9975818452380952,0.35560785781323256,8
6,01ausmei.mid,76,3,7,0,0.9966887417218543,84.0,4.074308020306797,2.7438252452234835,10.0,1.5945040409441307,0.9976380277531739,0.3550646567860712,0
7,09ermunt.mid,80,4,7,0,0.9439252336448598,64.0,4.3038819208749395,3.035632144356254,13.75,1.6341496737577568,0.9966476212686567,0.3627300014209631,4
8,13allein.mid,96,4,9,1,0.9636803874092009,86.0,4.417926371292637,3.01164793587746,14.0,1.6592029243399806,0.996823489010989,0.4005481475659657,4
9,08freuet.mid,80,4,5,1,0.9608938547486033,80.0,4.45299292686556,3.0535631814656656,15.0,1.3335523600083345,0.99698486328125,0.28089953048325833,2
10,07nunlob.mid,96,3,9,0,0.9376498800959233,135.0,4.262132553881297,3.0259294820280815,13.75,1.656891326192374,0.9981038735155325,0.35496126003177836,6
11,05anwass.mid,96,4,7,0,0.9529702970297029,84.0,4.371456617485195,2.9811015806614307,16.0,1.5145781395353253,0.9966325431034483,0.3564563417905582,2
12,02ichdan.mid,76,4,9,0,0.9459459459459459,68.0,4.275036288041816,3.000889287922616,16.0,1.2503453629476162,0.997194102112676,0.40819653395615574,8
13,04esistd.mid,96,4,4,0,0.937037037037037,56.0,4.237539899900375,2.968097331550864,15.0,1.141308850921077,0.9970537605932204,0.33657799857877135,0
14,14oherre.mid,84,4,7,0,0.9777777777777777,76.0,4.249187639149906,2.8649334325984164,12.75,1.2754362149100404,0.9974040743670886,0.4463529571311238,0
